,author,title,year
272,Karl Whittington; ,Painting the Sculptural Body in Lucca and Florence: Intermediality in <i>Croci Dipinte</i>,2022
273,Elina Gertsman; ,Animal Affinities: Monsters and Marvels in the Ambrosian Tanakh,2022
274,Barbara Franzé; Lindsay Cook; ,The Façade of Saint-Gilles-du-Gard: The Visual Strategies of a Political Agenda,2022
275,Andrew Williams; ,"<i>Imago humilis</i>: Humor, Irony, and the Rhetorical Wit of the Sacred in the Arena Chapel, Padua",2022
276,Ivan Drpić; ,The Fictive Mosaics of Medieval Serbia,2022
277,Claudia Bolgia; ,Jerusalem in Rome: New Light on the Façade Mosaics of Gregory IX (1227–41) and Passion Relics in Old St. Peter’s,2022
278,Jana Gajdošová; ,Restaging Remnants of the Past: Royal Sculpture in Charles IV’s Prague,2022
279,Evan A. Gatti; ,Seeing through Sigebert: A Re-Examination of the Liturgical Portraits of Sigebert of Minden (1022–36),2022
280,Krisztina Ilko; ,Forging the Augustinian Past: The Rule-Giving of Saint Augustine in a Duecento Gradual,2023
281,Roland Betancourt; ,Between Wonder and Omen: Conjoined Twins and the Mandylion from Constantinople to Norman Sicily,2023
282,Paula Mae Carns; ,Making and Unmaking Love in the Macclesfield Psalter,2023
283,Elizabeth Lastra; ,Between Biblical and Political: The Subversion of Samson in Twelfth-Century León-Castile,2023
284,Renana Bartal; ,"Repetition, Opposition, and Invention in an IlluminatedMeditationes vitae Christi: Oxford, Corpus Christi College, MS 410",2014
285,Jeffrey F. Hamburger; ,Encounter: The Rothschild Canticles,2014
286,Walter Cahn; ,Correction: Schapiro and Focillon,2003
287,Lawrence Nees; ,Encounter: Kurt Weitzmann,2013
288,Lisa B. Mahoney; ,"The ""Histoire ancienne"" and Dialectical Identity in the Latin Kingdom of Jerusalem",2010
289,Elisabeth van Houts; ,Medieval Memory in Theory and Practice: Some Exploratory Thoughts in the Guise of a Conclusion,2009
290,Herbert L. Kessler; ,Encounter: Otto Demus,2015
